"Date","Years","Months","Lake","Specie","Value"
"10/12/2009",2009,10,"KBS","Temp","15.2"
"11/16/2009",2009,11,"KBS","Temp","7.73"
"12/7/2009",2009,12,"KBS","Temp","6.14"
"NaN",2010,1,"KBS","Temp","NaN"
"NaN",2010,2,"KBS","Temp","NaN"
"NaN",2010,3,"KBS","Temp","NaN"
"4/6/2010",2010,4,"KBS","Temp","7.93"
"5/3/2010",2010,5,"KBS","Temp","14.02"
"6/28/2010",2010,6,"KBS","Temp","18.71"
"7/26/2010",2010,7,"KBS","Temp","21.58"
"8/30/2010",2010,8,"KBS","Temp","18.15"
"9/20/2010",2010,9,"KBS","Temp","15.53"
"10/18/2010",2010,10,"KBS","Temp","11.96"
"11/15/2010",2010,11,"KBS","Temp","9.15"
"NaN",2010,12,"KBS","Temp","NaN"
"NaN",2011,1,"KBS","Temp","NaN"
"NaN",2011,2,"KBS","Temp","NaN"
"3/21/2011",2011,3,"KBS","Temp","5.32"
"4/18/2011",2011,4,"KBS","Temp","10.65"
"5/16/2011",2011,5,"KBS","Temp","14.95"
"6/6/2011",2011,6,"KBS","Temp","17.26"
"7/18/2011",2011,7,"KBS","Temp","18.36"
"8/8/2011",2011,8,"KBS","Temp","18.9"
"9/5/2011",2011,9,"KBS","Temp","20.13"
"10/4/2011",2011,10,"KBS","Temp","17.96"
"11/7/2011",2011,11,"KBS","Temp","9.89"
"12/5/2011",2011,12,"KBS","Temp","5.98"
"NaN",2012,1,"KBS","Temp","NaN"
"NaN",2012,2,"KBS","Temp","NaN"
"3/26/2012",2012,3,"KBS","Temp","7.05"
"4/23/2012",2012,4,"KBS","Temp","9.73"
"5/21/2012",2012,5,"KBS","Temp","12.98"
"6/18/2012",2012,6,"KBS","Temp","16.8"
"7/16/2012",2012,7,"KBS","Temp","18.07"
"8/13/2012",2012,8,"KBS","Temp","18.51"
"9/10/2012",2012,9,"KBS","Temp","18.97"
"10/8/2012",2012,10,"KBS","Temp","15.11"
"11/5/2012",2012,11,"KBS","Temp","9.52"
"12/3/2012",2012,12,"KBS","Temp","5.23"
"NaN",2013,1,"KBS","Temp","NaN"
"NaN",2013,2,"KBS","Temp","NaN"
"3/18/2013",2013,3,"KBS","Temp","3.65"
"4/15/2013",2013,4,"KBS","Temp","6.6"
"5/13/2013",2013,5,"KBS","Temp","12.15"
"6/10/2013",2013,6,"KBS","Temp","14.39"
"7/8/2013",2013,7,"KBS","Temp","15.68"
"8/5/2013",2013,8,"KBS","Temp","18.46"
"9/2/2013",2013,9,"KBS","Temp","15.67"
"10/28/2013",2013,10,"KBS","Temp","12.13"
"11/25/2013",2013,11,"KBS","Temp","6.6"
"12/11/2013",2013,12,"KBS","Temp","3.67"
"NaN",2014,1,"KBS","Temp","NaN"
"NaN",2014,2,"KBS","Temp","NaN"
"3/30/2014",2014,3,"KBS","Temp","8.83"
"4/28/2014",2014,4,"KBS","Temp","12.53"
"5/26/2014",2014,5,"KBS","Temp","15.75"
"6/23/2014",2014,6,"KBS","Temp","17.44"
"7/21/2014",2014,7,"KBS","Temp","19.61"
"8/18/2014",2014,8,"KBS","Temp","18.38"
"9/15/2014",2014,9,"KBS","Temp","17.1"
"10/13/2014",2014,10,"KBS","Temp","15.78"
"11/10/2014",2014,11,"KBS","Temp","10.49"
"12/8/2014",2014,12,"KBS","Temp","5.41"
"NaN",2015,1,"KBS","Temp","NaN"
"NaN",2015,2,"KBS","Temp","NaN"
"NaN",2015,3,"KBS","Temp","NaN"
"4/1/2015",2015,4,"KBS","Temp","5.9"
"5/20/2015",2015,5,"KBS","Temp","14.77"
"6/17/2015",2015,6,"KBS","Temp","16.86"
"7/15/2015",2015,7,"KBS","Temp","18.31"
"8/12/2015",2015,8,"KBS","Temp","20.61"
"9/2/2015",2015,9,"KBS","Temp","19.88"
"10/7/2015",2015,10,"KBS","Temp","14"
"11/4/2015",2015,11,"KBS","Temp","9.67"
"12/2/2015",2015,12,"KBS","Temp","6.51"
"NaN",2016,1,"KBS","Temp","NaN"
"NaN",2016,2,"KBS","Temp","NaN"
"3/16/2016",2016,3,"KBS","Temp","4.08"
"4/30/2016",2016,4,"KBS","Temp","12.89"
"5/24/2016",2016,5,"KBS","Temp","15.09"
"6/22/2016",2016,6,"KBS","Temp","17.13"
"7/13/2016",2016,7,"KBS","Temp","19.58"
"8/10/2016",2016,8,"KBS","Temp","19.06"
"9/7/2016",2016,9,"KBS","Temp","18.29"
"10/19/2016",2016,10,"KBS","Temp","12.14"
"11/9/2016",2016,11,"KBS","Temp","8.68"
"NaN",2016,12,"KBS","Temp","NaN"
"NaN",2017,1,"KBS","Temp","NaN"
"NaN",2017,2,"KBS","Temp","NaN"
"3/22/2017",2017,3,"KBS","Temp","7.49"
"4/26/2017",2017,4,"KBS","Temp","10.3"
"5/30/2017",2017,5,"KBS","Temp","17.62"
"6/28/2017",2017,6,"KBS","Temp","19.85"
"7/30/2017",2017,7,"KBS","Temp","19.72"
"8/24/2017",2017,8,"KBS","Temp","19.6"
"9/20/2017",2017,9,"KBS","Temp","15.29"
"10/18/2017",2017,10,"KBS","Temp","13.58"
"11/14/2017",2017,11,"KBS","Temp","8.33"
"12/6/2017",2017,12,"KBS","Temp","3.75"
"NaN",2018,1,"KBS","Temp","NaN"
"NaN",2018,2,"KBS","Temp","NaN"
"NaN",2018,3,"KBS","Temp","NaN"
"4/26/2018",2018,4,"KBS","Temp","13.5"
"5/22/2018",2018,5,"KBS","Temp","15.42"
"6/26/2018",2018,6,"KBS","Temp","17.19"
"7/30/2018",2018,7,"KBS","Temp","20.19"
"8/22/2018",2018,8,"KBS","Temp","20.02"
"9/19/2018",2018,9,"KBS","Temp","18.12"
"10/10/2018",2018,10,"KBS","Temp","14.31"
"11/28/2018",2018,11,"KBS","Temp","5.62"
"NaN",2018,12,"KBS","Temp","NaN"
"NaN",2019,1,"KBS","Temp","NaN"
"NaN",2019,2,"KBS","Temp","NaN"
"NaN",2019,3,"KBS","Temp","NaN"
"4/23/2019",2019,4,"KBS","Temp","11.32"
"5/22/2019",2019,5,"KBS","Temp","14.29"
"6/26/2019",2019,6,"KBS","Temp","19.8"
"7/24/2019",2019,7,"KBS","Temp","20.14"
"8/21/2019",2019,8,"KBS","Temp","19.16"
"9/18/2019",2019,9,"KBS","Temp","17.46"
"10/23/2019",2019,10,"KBS","Temp","13.38"
"NaN",2019,11,"KBS","Temp","NaN"
"12/11/2019",2019,12,"KBS","Temp","4.94"
"1/24/2000",2000,1,"IBS","Temp","0.8"
"2/21/2000",2000,2,"IBS","Temp","1.91"
"3/20/2000",2000,3,"IBS","Temp","5.83"
"4/19/2000",2000,4,"IBS","Temp","9.65"
"5/15/2000",2000,5,"IBS","Temp","20.22"
"6/14/2000",2000,6,"IBS","Temp","24.14"
"7/12/2000",2000,7,"IBS","Temp","18.71"
"8/9/2000",2000,8,"IBS","Temp","20.32"
"9/6/2000",2000,9,"IBS","Temp","18.2"
"10/18/2000",2000,10,"IBS","Temp","13.78"
"11/15/2000",2000,11,"IBS","Temp","9.15"
"12/11/2000",2000,12,"IBS","Temp","6.44"
"1/29/2001",2001,1,"IBS","Temp","1.71"
"2/19/2001",2001,2,"IBS","Temp","4.02"
"3/19/2001",2001,3,"IBS","Temp","6.44"
"4/17/2001",2001,4,"IBS","Temp","8.35"
"5/14/2001",2001,5,"IBS","Temp","17.2"
"6/11/2001",2001,6,"IBS","Temp","16.19"
"7/9/2001",2001,7,"IBS","Temp","21.42"
"8/6/2001",2001,8,"IBS","Temp","22.83"
"9/3/2001",2001,9,"IBS","Temp","20.22"
"10/15/2001",2001,10,"IBS","Temp","15.29"
"11/13/2001",2001,11,"IBS","Temp","8.45"
"12/10/2001",2001,12,"IBS","Temp","4.93"
"1/21/2002",2002,1,"IBS","Temp","1.21"
"2/18/2002",2002,2,"IBS","Temp","4.53"
"3/18/2002",2002,3,"IBS","Temp","7.34"
"4/15/2002",2002,4,"IBS","Temp","8.95"
"5/13/2002",2002,5,"IBS","Temp","16.09"
"6/10/2002",2002,6,"IBS","Temp","19.01"
"7/8/2002",2002,7,"IBS","Temp","21.62"
"8/5/2002",2002,8,"IBS","Temp","23.03"
"9/2/2002",2002,9,"IBS","Temp","21.52"
"10/15/2002",2002,10,"IBS","Temp","12.07"
"11/11/2002",2002,11,"IBS","Temp","8.75"
"12/9/2002",2002,12,"IBS","Temp","5.13"
"1/20/2003",2003,1,"IBS","Temp","0.3"
"2/17/2003",2003,2,"IBS","Temp","2.01"
"3/17/2003",2003,3,"IBS","Temp","4.02"
"4/28/2003",2003,4,"IBS","Temp","14.08"
"5/26/2003",2003,5,"IBS","Temp","17.5"
"6/23/2003",2003,6,"IBS","Temp","23.53"
"7/23/2003",2003,7,"IBS","Temp","25.85"
"8/18/2003",2003,8,"IBS","Temp","24.64"
"9/15/2003",2003,9,"IBS","Temp","17.4"
"10/13/2003",2003,10,"IBS","Temp","12.37"
"11/10/2003",2003,11,"IBS","Temp","6.54"
"12/8/2003",2003,12,"IBS","Temp","3.62"
"1/19/2004",2004,1,"IBS","Temp","1.01"
